삼성중앙역,가양역,33,삼성중앙역-선정릉역-언주역-신논현역-사평역-고속터미널역-신반포역-구반포역-동작역-흑석역-노들역-노량진역-샛강역-여의도역-국회의사당역-당산역-선유도역-신목동역-염창역-등촌역-증미역-가양역
가양역,봉은사역,31,가양역-증미역-등촌역-염창역-신목동역-선유도역-당산역-국회의사당역-여의도역-샛강역-노량진역-노들역-흑석역-동작역-구반포역-신반포역-고속터미널역-사평역-신논현역-언주역-선정릉역-삼성중앙역-봉은사역
봉은사역,가양역,31,봉은사역-삼성중앙역-선정릉역-언주역-신논현역-사평역-고속터미널역-신반포역-구반포역-동작역-흑석역-노들역-노량진역-샛강역-여의도역-국회의사당역-당산역-선유도역-신목동역-염창역-등촌역-증미역-가양역
가양역,암사역,55,가양역-증미역-등촌역-염창역-신목동역-선유도역-당산역-국회의사당역-여의도역-샛강역-노량진역-노들역-흑석역-동작역-구반포역-신반포역-고속터미널역-사평역-신논현역-언주역-선정릉역-삼성중앙역-봉은사역-종합운동장역-삼전역-석촌고분역-석촌역-잠실역-몽촌토성역-강동구청역-천호역-암사역
암사역,가양역,55,암사역-천호역-강동구청역-몽촌토성역-잠실역-석촌역-석촌고분역-삼전역-종합운동장역-봉은사역-삼성중앙역-선정릉역-언주역-신논현역-사평역-고속터미널역-신반포역-구반포역-동작역-흑석역-노들역-노량진역-샛강역-여의도역-국회의사당역-당산역-선유도역-신목동역-염창역-등촌역-증미역-가양역
가양역,천호역,53,가양역-증미역-등촌역-염창역-신목동역-선유도역-당산역-국회의사당역-여의도역-샛강역-노량진역-노들역-흑석역-동작역-구반포역-신반포역-고속터미널역-사평역-신논현역-언주역-선정릉역-삼성중앙역-봉은사역-종합운동장역-삼전역-석촌고분역-석촌역-잠실역-몽촌토성역-강동구청역-천호역
천호역,가양역,53,천호역-강동구청역-몽촌토성역-잠실역-석촌역-석촌고분역-삼전역-종합운동장역-봉은사역-삼성중앙역-선정릉역-언주역-신논현역-사평역-고속터미널역-신반포역-구반포역-동작역-흑석역-노들역-노량진역-샛강역-여의도역-국회의사당역-당산역-선유도역-신목동역-염창역-등촌역-증미역-가양역
가양역,강동구청역,51,가양역-증미역-등촌역-염창역-신목동역-선유도역-당산역-국회의사당역-여의도역-샛강역-노량진역-노들역-흑석역-동작역-구반포역-신반포역-고속터미널역-사평역-신논현역-언주역-선정릉역-삼성중앙역-봉은사역-종합운동장역-삼전역-석촌고분역-석촌역-잠실역-몽촌토성역-강동구청역
강동구청역,가양역,51,강동구청역-몽촌토성역-잠실역-석촌역-석촌고분역-삼전역-종합운동장역-봉은사역-삼성중앙역-선정릉역-언주역-신논현역-사평역-고속터미널역-신반포역-구반포역-동작역-흑석역-노들역-노량진역-샛강역-여의도역-국회의사당역-당산역-선유도역-신목동역-염창역-등촌역-증미역-가양역
가양역,몽촌토성역,48,가양역-증미역-등촌역-염창역-신목동역-선유도역-당산역-국회의사당역-여의도역-샛강역-노량진역-노들역-흑석역-동작역-구반포역-신반포역-고속터미널역-사평역-신논현역-언주역-선정릉역-삼성중앙역-봉은사역-종합운동장역-삼전역-석촌고분역-석촌역-잠실역-몽촌토성역
몽촌토성역,가양역,48,몽촌토성역-잠실역-석촌역-석촌고분역-삼전역-종합운동장역-봉은사역-삼성중앙역-선정릉역-언주역-신논현역-사평역-고속터미널역-신반포역-구반포역-동작역-흑석역-노들역-노량진역-샛강역-여의도역-국회의사당역-당산역-선유도역-신목동역-염창역-등촌역-증미역-가양역
가양역,잠실역,43,가양역-증미역-등촌역-염창역-신목동역-선유도역-당산역-국회의사당역-여의도역-샛강역-노량진역-노들역-흑석역-동작역-구반포역-신반포역-고속터미널역-사평역-신논현역-언주역-선정릉역-삼성중앙역-봉은사역-종합운동장역-잠실새내역-잠실역
잠실역,가양역,43,잠실역-잠실새내역-종합운동장역-봉은사역-삼성중앙역-선정릉역-언주역-신논현역-사평역-고속터미널역-신반포역-구반포역-동작역-흑석역-노들역-노량진역-샛강역-여의도역-국회의사당역-당산역-선유도역-신목동역-염창역-등촌역-증미역-가양역
가양역,올림픽공원역,42,가양역-증미역-등촌역-염창역-신목동역-선유도역-당산역-국회의사당역-여의도역-샛강역-노량진역-노들역-흑석역-동작역-구반포역-신반포역-고속터미널역-사평역-신논현역-언주역-선정릉역-삼성중앙역-봉은사역-종합운동장역-삼전역-석촌고분역-석촌역-송파나루역-한성백제역-올림픽공원역
올림픽공원역,가양역,42,올림픽공원역-한성백제역-송파나루역-석촌역-석촌고분역-삼전역-종합운동장역-봉은사역-삼성중앙역-선정릉역-언주역-신논현역-사평역-고속터미널역-신반포역-구반포역-동작역-흑석역-노들역-노량진역-샛강역-여의도역-국회의사당역-당산역-선유도역-신목동역-염창역-등촌역-증미역-가양역
